date,home_team,visitor_team,home_points,visitor_points,home_margin_of_victory,favorite,spread,total,cover,over,team_points,team_total_yards,team_plays_offense,team_yds_per_play_offense,team_turnovers,team_fumbles_lost,team_first_down,team_pass_cmp,team_pass_att,team_pass_yds,team_pass_td,team_pass_int,team_pass_net_yds_per_att,team_pass_fd,team_rush_att,team_rush_yds,team_rush_td,team_rush_yds_per_att,team_rush_fd,team_penalties,team_penalties_yds,team_pen_fd,team_drives,team_score_pct,team_turnover_pct,team_start_avg,team_time_avg,team_plays_per_drive,team_yds_per_drive,team_points_avg,opp_points,opp_total_yards,opp_plays_offense,opp_yds_per_play_offense,opp_turnovers,opp_fumbles_lost,opp_first_down,opp_pass_cmp,opp_pass_att,opp_pass_yds,opp_pass_td,opp_pass_int,opp_pass_net_yds_per_att,opp_pass_fd,opp_rush_att,opp_rush_yds,opp_rush_td,opp_rush_yds_per_att,opp_rush_fd,opp_penalties,opp_penalties_yds,opp_pen_fd,opp_drives,opp_score_pct,opp_turnover_pct,opp_start_avg,opp_time_avg,opp_plays_per_drive,opp_yds_per_drive,opp_points_avg
908,neworleans,greenbay,42,34,8,0,0,0,0,0,-13.0,992.0,129.0,0.10000000000000053,5.0,-1.0,63.0,96.0,110.0,423.0,-5.0,6.0,-0.5000000000000009,50.0,36.0,569.0,4.0,1.0000000000000004,27.0,23.0,260.0,-14.0,-5.0,3.1000000000000014,4.800000000000001,-2.6000000000000014,13.0,0.9400000000000004,6.600000000000001,0.10999999999999988,-20.0,-690.0,-39.0,-0.5,5.0,0.0,-32.0,-28.0,-11.0,-639.0,-5.0,-22.0,-0.9000000000000004,-50.0,-32.0,-51.0,1.0,0.2999999999999998,-4.0,-13.0,-36.0,-14.0,-1.0,0.20000000000000284,-11.399999999999999,0.3000000000000007,-5.0,-0.20000000000000018,-3.5,-0.09999999999999987
911,philadelphia,stlouis,13,31,-18,0,0,0,0,0,203.0,1849.0,23.0,1.7000000000000002,15.0,0.0,89.0,38.0,5.0,1240.0,13.0,15.0,2.2,38.0,41.0,609.0,13.0,1.0,55.0,-5.0,-46.0,-4.0,-6.0,15.800000000000004,6.699999999999999,2.3000000000000007,20.0,0.28000000000000025,10.700000000000003,1.04,-79.0,-536.0,-51.0,-0.2999999999999998,15.0,3.0,-24.0,8.0,34.0,96.0,6.0,3.0,-0.2999999999999998,7.0,-96.0,-632.0,-6.0,-0.39999999999999947,-38.0,-14.0,-138.0,-4.0,3.0,-8.2,3.4000000000000004,-1.0999999999999979,-19.0,-0.39999999999999947,-3.1999999999999993,-0.26
911,pittsburgh,baltimore,35,7,28,0,0,0,0,0,-53.0,538.0,-21.0,0.7000000000000002,4.0,1.0,29.0,27.0,-5.0,631.0,0.0,3.0,1.0999999999999996,40.0,-25.0,-93.0,-2.0,0.10000000000000053,-2.0,9.0,112.0,-9.0,-18.0,-1.6000000000000014,4.899999999999999,-2.099999999999998,68.0,0.4500000000000002,6.299999999999997,-0.010000000000000009,-39.0,-274.0,-38.0,-0.09999999999999964,4.0,-7.0,-5.0,1.0,-5.0,-389.0,4.0,-4.0,-0.5,-10.0,-20.0,115.0,-3.0,0.5,3.0,-7.0,-255.0,-9.0,-19.0,-0.6000000000000014,-5.5,-1.6999999999999993,6.0,0.40000000000000036,1.1000000000000014,0.030000000000000027
911,indianapolis,houston,34,7,27,0,0,0,0,0,-138.0,-1365.0,-95.0,-0.9000000000000004,9.0,4.0,-63.0,14.0,67.0,-511.0,-6.0,5.0,-1.7000000000000002,-6.0,-164.0,-854.0,-10.0,-0.2999999999999998,-62.0,-23.0,-303.0,5.0,-5.0,-13.000000000000004,5.1,-6.800000000000001,-29.0,-0.41999999999999993,-6.5,-0.73,152.0,1364.0,102.0,0.7999999999999998,9.0,-1.0,73.0,72.0,-45.0,597.0,7.0,-9.0,1.7999999999999998,27.0,162.0,767.0,11.0,0.20000000000000018,63.0,-4.0,118.0,5.0,-2.0,9.400000000000002,-4.700000000000001,2.900000000000002,34.0,0.6000000000000005,7.599999999999998,0.6700000000000002
911,tennessee,jacksonville,16,14,2,0,0,0,0,0,82.0,1212.0,-18.0,1.3000000000000007,-1.0,0.0,30.0,113.0,115.0,1744.0,10.0,-1.0,2.3,63.0,-113.0,-532.0,-1.0,-0.20000000000000018,-32.0,27.0,280.0,-1.0,-6.0,8.7,0.3999999999999986,-1.4000000000000021,-7.0,0.11000000000000032,7.699999999999999,0.47,-12.0,674.0,101.0,0.20000000000000018,-1.0,1.0,56.0,43.0,78.0,288.0,0.0,-6.0,-0.1999999999999993,12.0,26.0,386.0,-4.0,0.7000000000000002,38.0,-6.0,-83.0,-1.0,-8.0,1.8000000000000007,-1.0,-4.100000000000001,17.0,0.7000000000000002,4.699999999999999,0.0
911,atlanta,chicago,30,12,18,0,0,0,0,0,49.0,1000.0,95.0,0.5,-8.0,-1.0,78.0,97.0,121.0,1181.0,11.0,-7.0,1.0,62.0,-3.0,-181.0,4.0,-0.40000000000000036,3.0,-11.0,-31.0,13.0,-12.0,8.799999999999997,-3.9000000000000004,1.5,19.0,0.8099999999999996,7.0000000000000036,0.6000000000000001,9.0,-269.0,-83.0,0.09999999999999964,-8.0,-1.0,1.0,-43.0,-71.0,-279.0,3.0,-1.0,0.3000000000000007,-13.0,-12.0,10.0,0.0,0.20000000000000018,12.0,3.0,124.0,13.0,-23.0,1.7000000000000028,0.6999999999999993,-3.900000000000002,8.0,0.20000000000000018,2.0,0.18999999999999995
911,cincinnati,cleveland,17,27,-10,0,0,0,0,0,126.0,497.0,-9.0,0.5,3.0,2.0,7.0,-12.0,-35.0,250.0,5.0,1.0,0.9000000000000004,-13.0,40.0,247.0,6.0,0.19999999999999973,16.0,4.0,27.0,4.0,17.0,8.100000000000001,-0.40000000000000036,3.0,-8.0,-0.5,0.3999999999999986,0.42000000000000015,16.0,-258.0,-26.0,-0.09999999999999964,3.0,1.0,-17.0,54.0,70.0,426.0,5.0,1.0,-0.10000000000000053,21.0,-109.0,-684.0,2.0,-0.5000000000000004,-30.0,11.0,152.0,4.0,26.0,-4.799999999999997,-0.5,-3.599999999999998,-29.0,-0.8999999999999995,-5.5,-0.07999999999999985
911,buffalo,kansascity,7,41,-34,0,0,0,0,0,160.0,651.0,-29.0,0.7999999999999998,2.0,-5.0,36.0,57.0,78.0,623.0,11.0,7.0,0.40000000000000036,17.0,-96.0,28.0,7.0,1.0000000000000004,11.0,-24.0,-173.0,8.0,0.0,9.0,3.200000000000001,1.5999999999999979,3.0,-0.14999999999999947,3.5,0.6499999999999999,96.0,605.0,12.0,0.5,2.0,5.0,49.0,64.0,53.0,493.0,7.0,0.0,0.20000000000000018,27.0,-41.0,112.0,5.0,0.5999999999999996,24.0,-23.0,37.0,8.0,1.0,5.100000000000001,1.5,-2.0,-8.0,0.0,3.0,0.4099999999999999
911,detroit,tampabay,20,27,-7,0,0,0,0,0,187.0,1229.0,92.0,0.7000000000000002,-17.0,-9.0,72.0,58.0,78.0,1164.0,24.0,-8.0,1.0,64.0,10.0,65.0,0.0,0.09999999999999964,-3.0,5.0,68.0,11.0,16.0,8.900000000000002,-9.7,1.6999999999999993,-7.0,0.02999999999999936,4.200000000000003,0.7000000000000002,-107.0,-430.0,53.0,-0.7000000000000002,-17.0,3.0,-31.0,75.0,123.0,17.0,-4.0,7.0,-1.6999999999999993,7.0,-88.0,-447.0,-16.0,0.0,-44.0,24.0,196.0,11.0,20.0,-10.5,3.1999999999999993,-4.0,-21.0,-0.2999999999999998,-5.4999999999999964,-0.8299999999999998
911,carolina,arizona,28,21,7,0,0,0,0,0,94.0,1045.0,6.0,1.0,-9.0,-3.0,59.0,5.0,-31.0,262.0,0.0,-6.0,1.0,0.0,56.0,783.0,14.0,1.2000000000000002,56.0,7.0,9.0,3.0,-20.0,12.399999999999999,-2.799999999999999,2.299999999999997,24.0,0.6299999999999999,8.799999999999997,0.76,81.0,360.0,-123.0,1.0,-9.0,1.0,-4.0,-22.0,-88.0,253.0,11.0,4.0,1.5999999999999996,17.0,-24.0,107.0,3.0,0.39999999999999947,-8.0,-24.0,-49.0,3.0,-33.0,9.900000000000006,3.5999999999999996,-3.0,14.0,0.3000000000000007,7.400000000000002,0.7499999999999998
911,minnesota,sandiego,24,17,7,0,0,0,0,0,-66.0,-1015.0,-41.0,-0.7999999999999998,-2.0,1.0,-62.0,-80.0,-72.0,-1469.0,-7.0,-3.0,-1.9000000000000004,-75.0,12.0,454.0,2.0,0.9000000000000004,21.0,18.0,155.0,-8.0,17.0,-9.599999999999998,-3.1000000000000014,1.2000000000000028,-75.0,-0.8199999999999994,-8.700000000000003,-0.4800000000000002,72.0,185.0,69.0,-0.20000000000000018,-2.0,11.0,21.0,68.0,60.0,428.0,5.0,-9.0,-0.20000000000000018,27.0,-9.0,-243.0,2.0,-0.5000000000000004,-10.0,5.0,74.0,-8.0,15.0,4.600000000000001,-1.5999999999999996,3.3000000000000007,-1.0,-0.09999999999999964,-1.5,0.2200000000000002
911,seattle,sanfrancisco,33,17,16,0,0,0,0,0,-59.0,-113.0,10.0,-0.20000000000000018,13.0,4.0,-17.0,22.0,58.0,175.0,-3.0,9.0,-0.3000000000000007,3.0,-54.0,-288.0,1.0,-0.09999999999999964,-12.0,25.0,33.0,-8.0,6.0,-11.8,6.3999999999999995,-2.1999999999999993,-23.0,-0.22000000000000064,-1.5,-0.41000000000000014,86.0,384.0,75.0,0.0,13.0,-6.0,43.0,-9.0,-36.0,-177.0,-2.0,-1.0,0.09999999999999964,-16.0,120.0,561.0,7.0,0.2999999999999998,43.0,-2.0,40.0,-8.0,3.0,5.300000000000001,-3.8999999999999986,2.5,18.0,0.2999999999999998,1.6000000000000014,0.25
911,nygiants,washington,28,14,14,0,0,0,0,0,106.0,774.0,-4.0,0.7999999999999998,-11.0,-3.0,19.0,13.0,-2.0,961.0,10.0,-8.0,1.7000000000000002,12.0,11.0,-187.0,9.0,-0.5,5.0,3.0,-102.0,2.0,12.0,1.6000000000000014,-7.100000000000001,-2.700000000000003,-13.0,-0.4500000000000002,2.099999999999998,0.3999999999999999,33.0,585.0,84.0,0.09999999999999964,-11.0,3.0,43.0,53.0,80.0,529.0,6.0,7.0,-0.09999999999999964,30.0,-3.0,56.0,0.0,0.20000000000000018,8.0,-13.0,-73.0,2.0,6.0,-2.6999999999999957,4.300000000000001,-2.0,-3.0,0.1999999999999993,2.1999999999999993,0.020000000000000018
